file, solution, objective
doe2vec_cosine_p90_seed50_t600_redumis.out, [ ... ], 3246
doe2vec_cosine_p95_seed20_t600_redumis.out, [ ... ], 3936
doe2vec_cosine_p95_seed30_t600_redumis.out, [ ... ], 3936
doe2vec_cosine_p95_seed40_t600_redumis.out, [ ... ], 3936
doe2vec_cosine_p95_seed50_t600_redumis.out, [ ... ], 3936
doe2vec_seuclidean_p10_seed20_t600_redumis.out, [ ... ], 315
doe2vec_seuclidean_p10_seed40_t600_redumis.out, [ ... ], 315
doe2vec_seuclidean_p20_seed40_t600_redumis.out, [ ... ], 559
doe2vec_seuclidean_p50_seed20_t600_redumis.out, [ ... ], 1757
doe2vec_seuclidean_p50_seed30_t600_redumis.out, [ ... ], 1757
doe2vec_seuclidean_p50_seed40_t600_redumis.out, [ ... ], 1757
doe2vec_seuclidean_p50_seed50_t600_redumis.out, [ ... ], 1757
doe2vec_seuclidean_p80_seed20_t600_redumis.out, [ ... ], 4181
doe2vec_seuclidean_p80_seed30_t600_redumis.out, [ ... ], 4181
doe2vec_seuclidean_p80_seed40_t600_redumis.out, [ ... ], 4181
doe2vec_seuclidean_p80_seed50_t600_redumis.out, [ ... ], 4181
doe2vec_seuclidean_p90_seed20_t600_redumis.out, [ ... ], 5586
doe2vec_seuclidean_p90_seed30_t600_redumis.out, [ ... ], 5586
doe2vec_seuclidean_p90_seed40_t600_redumis.out, [ ... ], 5586
doe2vec_seuclidean_p90_seed50_t600_redumis.out, [ ... ], 5586
doe2vec_seuclidean_p95_seed20_t600_redumis.out, [ ... ], 6586
doe2vec_seuclidean_p95_seed30_t600_redumis.out, [ ... ], 6586
doe2vec_seuclidean_p95_seed40_t600_redumis.out, [ ... ], 6586
doe2vec_seuclidean_p95_seed50_t600_redumis.out, [ ... ], 6586
ela_correlation_p10_seed20_t600_redumis.out, [ ... ], 1105
ela_correlation_p10_seed30_t600_redumis.out, [ ... ], 1105
ela_correlation_p10_seed50_t600_redumis.out, [ ... ], 1105
ela_correlation_p20_seed20_t600_redumis.out, [ ... ], 2081
ela_correlation_p20_seed30_t600_redumis.out, [ ... ], 2081
ela_correlation_p50_seed20_t600_redumis.out, [ ... ], 4653
ela_correlation_p50_seed30_t600_redumis.out, [ ... ], 4653
ela_correlation_p50_seed40_t600_redumis.out, [ ... ], 4652
ela_correlation_p50_seed50_t600_redumis.out, [ ... ], 4653
ela_correlation_p90_seed20_t600_redumis.out, [ ... ], 7491
ela_correlation_p90_seed30_t600_redumis.out, [ ... ], 7491
ela_correlation_p90_seed40_t600_redumis.out, [ ... ], 7491
ela_correlation_p90_seed50_t600_redumis.out, [ ... ], 7491
ela_correlation_p95_seed20_t600_redumis.out, [ ... ], 7820
ela_correlation_p95_seed30_t600_redumis.out, [ ... ], 7820
ela_correlation_p95_seed40_t600_redumis.out, [ ... ], 7820
ela_correlation_p95_seed50_t600_redumis.out, [ ... ], 7820
ela_cosine_p10_seed30_t600_redumis.out, [ ... ], 1105
ela_cosine_p10_seed40_t600_redumis.out, [ ... ], 1104
ela_cosine_p20_seed20_t600_redumis.out, [ ... ], 2079
ela_cosine_p20_seed30_t600_redumis.out, [ ... ], 2079
ela_cosine_p20_seed40_t600_redumis.out, [ ... ], 2079
ela_cosine_p20_seed50_t600_redumis.out, [ ... ], 2079
ela_cosine_p50_seed20_t600_redumis.out, [ ... ], 4647
ela_cosine_p50_seed30_t600_redumis.out, [ ... ], 4647
ela_cosine_p50_seed40_t600_redumis.out, [ ... ], 4647
ela_cosine_p50_seed50_t600_redumis.out, [ ... ], 4647
ela_cosine_p90_seed20_t600_redumis.out, [ ... ], 7478
ela_cosine_p90_seed30_t600_redumis.out, [ ... ], 7478
ela_cosine_p90_seed40_t600_redumis.out, [ ... ], 7478
ela_cosine_p90_seed50_t600_redumis.out, [ ... ], 7478
ela_cosine_p95_seed20_t600_redumis.out, [ ... ], 7808
ela_cosine_p95_seed30_t600_redumis.out, [ ... ], 7808
ela_cosine_p95_seed40_t600_redumis.out, [ ... ], 7808
ela_cosine_p95_seed50_t600_redumis.out, [ ... ], 7808
ela_seuclidean_p10_seed20_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p10_seed30_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p10_seed40_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p10_seed50_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p20_seed20_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p20_seed30_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p20_seed40_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p20_seed50_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p50_seed20_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p50_seed30_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p50_seed40_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p50_seed50_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p80_seed20_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p80_seed30_t600_redumis.out, [ ... ], 8280
