file seed objective
tinytla_seuclidean_p95 30 1
doe2vec_cosine_p20 30 2
tinytla_seuclidean_p50 30 1
tinytla_correlation_p10 50 1
doe2vec_seuclidean_p20 20 2
ela_correlation_p20 50 1
transoptas_5pso_cosine_p10 30 1
doe2vec_correlation_p80 50 10
ela_cosine_p95 40 6
ela_correlation_p20 40 1
doe2vec_correlation_p50 50 2
transoptas_5pso_correlation_p20 10 1
tinytla_cosine_p10 20 1
tinytla_seuclidean_p95 10 1
deepela_large_r1_correlation_p80 40 2
ela_correlation_p90 20 5
tinytla_seuclidean_p20 20 1
ela_correlation_p95 50 6
deepela_large_r1_correlation_p10 30 1
ela_cosine_p95 50 6
tinytla_seuclidean_p50 10 1
doe2vec_cosine_p95 20 227
deepela_large_r1_correlation_p90 40 6
tinytla_seuclidean_p10 20 1
transoptas_5pso_cosine_p95 40 11
doe2vec_correlation_p90 30 42
deepela_large_r1_seuclidean_p80 40 1
tinytla_correlation_p95 20 55
doe2vec_cosine_p50 50 2
deepela_large_r1_correlation_p80 20 2
doe2vec_correlation_p95 50 234
doe2vec_cosine_p10 20 2
doe2vec_cosine_p90 20 41
doe2vec_correlation_p90 20 42
doe2vec_correlation_p10 10 2
doe2vec_seuclidean_p90 20 2
doe2vec_seuclidean_p80 20 2
deepela_large_r1_seuclidean_p20 10 1
ela_correlation_p10 20 1
tinytla_correlation_p10 40 1
transoptas_5pso_correlation_p95 30 10
tinytla_correlation_p95 30 55
doe2vec_correlation_p95 40 234
ela_cosine_p20 40 1
tinytla_correlation_p95 40 55
deepela_large_r1_seuclidean_p10 20 1
ela_correlation_p20 30 1
doe2vec_correlation_p80 30 10
deepela_large_r1_correlation_p10 40 1
deepela_large_r1_cosine_p50 20 2
doe2vec_correlation_p90 10 42
deepela_large_r1_cosine_p10 20 1
transoptas_5pso_correlation_p20 40 1
transoptas_5pso_cosine_p20 20 1
deepela_large_r1_seuclidean_p50 20 1
transoptas_5pso_cosine_p10 50 1
doe2vec_cosine_p10 40 2
deepela_large_r1_correlation_p20 50 1
transoptas_5pso_correlation_p95 20 10
transoptas_5pso_seuclidean_p10 40 1
transoptas_5pso_correlation_p20 50 1
doe2vec_cosine_p10 10 2
doe2vec_cosine_p20 20 2
deepela_large_r1_correlation_p50 30 2
deepela_large_r1_correlation_p20 10 1
ela_correlation_p20 10 1
deepela_large_r1_correlation_p20 20 1
doe2vec_correlation_p20 10 2
deepela_large_r1_cosine_p50 50 2
ela_cosine_p50 10 1
deepela_large_r1_correlation_p10 50 1
deepela_large_r1_cosine_p95 10 51
tinytla_seuclidean_p90 50 1
doe2vec_seuclidean_p20 10 2
deepela_large_r1_cosine_p80 50 2
deepela_large_r1_seuclidean_p80 20 1
doe2vec_cosine_p80 10 10
deepela_large_r1_cosine_p90 10 5
tinytla_seuclidean_p50 40 1
doe2vec_seuclidean_p80 50 2
tinytla_correlation_p10 10 1
tinytla_cosine_p10 40 1
ela_cosine_p90 40 5
deepela_large_r1_cosine_p95 50 51
doe2vec_cosine_p10 30 2
doe2vec_cosine_p50 40 2
transoptas_5pso_seuclidean_p10 10 1
deepela_large_r1_seuclidean_p10 30 1
tinytla_cosine_p95 30 50
deepela_large_r1_cosine_p95 40 51
doe2vec_cosine_p80 20 10
